created_at,url_title,html_url,author_association,comments
2026-02-25T22:00:06Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49392"">Filtering corrupts data in column containing an array</a>",https://github.com/apache/arrow/issues/49392,NONE,0
2026-02-24T20:06:46Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49384"">Single chunk ChunkedArray doesn't correctly respect copy in __array__method</a>",https://github.com/apache/arrow/issues/49384,NONE,0
2026-02-23T20:35:03Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49376"">[Python][Parquet] Add options to control writing of Bloom filters to `parquet.write_table`</a>",https://github.com/apache/arrow/issues/49376,MEMBER,0
2026-02-22T06:29:52Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49363"">[Python][Dataset] Add filters parameter to orc.read_table() for predicate pushdown</a>",https://github.com/apache/arrow/issues/49363,NONE,0
2026-02-18T14:35:26Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49327"">[Python][Packaging] Wrong ARROW_SIMD_LEVEL=SSE4_2 on arm64 macOS wheels</a>",https://github.com/apache/arrow/issues/49327,MEMBER,3
2026-02-18T09:24:04Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49321"">[Python] Add a PyArrow sanitizers build</a>",https://github.com/apache/arrow/issues/49321,MEMBER,2
2026-02-17T15:32:40Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49309"">[Python ] Table.to_batches() loses schema information when table has zero rows</a>",https://github.com/apache/arrow/issues/49309,NONE,3
2026-02-17T13:37:02Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49305"">[Python] Expose RecordBatchFileReader::CountRows in Python</a>",https://github.com/apache/arrow/issues/49305,NONE,0
2026-02-16T07:59:09Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49295"">[Python] test_memory.py fails with `-DARROW_MIMALLOC=OFF`</a>",https://github.com/apache/arrow/issues/49295,MEMBER,5
2026-02-14T13:36:37Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49285"">[Python] RecordBatch.serialize() should support writing into a pre-allocated buffer</a>",https://github.com/apache/arrow/issues/49285,NONE,0
2026-02-13T15:54:07Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49278"">[Python][Doc] Add from_numpy examples for sparse tensor constructors</a>",https://github.com/apache/arrow/issues/49278,CONTRIBUTOR,3
2026-02-13T11:44:47Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49273"">[Python] Wheel / sdist build uses docstrings generation script we don't want to distribute</a>",https://github.com/apache/arrow/issues/49273,MEMBER,4
2026-02-12T13:50:02Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49258"">[Python] RecordBatch.serialize() silently drops dictionary messages</a>",https://github.com/apache/arrow/issues/49258,NONE,0
2026-02-12T12:25:24Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49255"">[Python] Fix DeprecationWarnings in PyArrow tests</a>",https://github.com/apache/arrow/issues/49255,MEMBER,1
2026-02-11T12:02:54Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49227"">[Python] Deprecate `pyarrow.gandiva`</a>",https://github.com/apache/arrow/issues/49227,MEMBER,5
2026-02-11T04:23:02Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49222"">[Python] data loss converting to Table from pandas Timedelta built using `replace`</a>",https://github.com/apache/arrow/issues/49222,NONE,1
2026-02-09T20:39:53Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49199"">[Python][Annotations] Remaining test fixes</a>",https://github.com/apache/arrow/issues/49199,MEMBER,0
2026-02-09T20:37:52Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49198"">[Python][Annotations] Flight, CUDA and other modules</a>",https://github.com/apache/arrow/issues/49198,MEMBER,0
2026-02-09T20:36:28Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49197"">[Python][Annotations] Parquet and Dataset</a>",https://github.com/apache/arrow/issues/49197,MEMBER,0
2026-02-09T20:35:08Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49196"">[Python][Annotations] Filesystems</a>",https://github.com/apache/arrow/issues/49196,MEMBER,0
2026-02-09T20:33:42Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49195"">[Python][Annotations] I/O, IPC, and Serialization Formats</a>",https://github.com/apache/arrow/issues/49195,MEMBER,0
2026-02-09T20:32:29Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49194"">[Python][Annotations] Compute module</a>",https://github.com/apache/arrow/issues/49194,MEMBER,0
2026-02-09T20:31:25Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/issues/49193"">[Python][Annotations] Core Data Structures</a>",https://github.com/apache/arrow/issues/49193,MEMBER,0
